club,schedule_url,ticket_url
水戸ホーリーホック,https://www.mito-hollyhock.net/match/games/,https://www.mito-hollyhock.net/news_cat/ticket/
鹿島アントラーズ,https://www.antlers.co.jp/pages/games?srsltid=AfmBOoqXqFt5AEJMYtCQpIYYFDmNTS0Fn-XrZ4omAst9EbbHzjNu3Yot,https://www.antlers.co.jp/blogs/news/260703cm5rd0
浦和レッズ,https://www.urawa-reds.co.jp/game/,https://www.urawa-reds.co.jp/ticket/saleperiod.php
ジェフユナイテッド千葉,https://jefunited.co.jp/matches/top/,https://jefunited.co.jp/news/detail/5285
柏レイソル,https://www.reysol.co.jp/game/results/,https://www.reysol.co.jp/ticket/tktscd.php
FC東京,https://www.fctokyo.co.jp/match/schedule/,https://www.fctokyo.co.jp/news/?slug=ticket
東京ヴェルディ,https://www.verdy.co.jp/match/schedule/,https://www.verdy.co.jp/content/ticket/buy/
FC町田ゼルビア,https://www.zelvia.co.jp/match/game/series/2026-27/,https://www.zelvia.co.jp/stadium-ticket/schedule/
川崎フロンターレ,https://www.frontale.co.jp/schedule/all_games.html,https://www.frontale.co.jp/tickets/
横浜F・マリノス,https://www.f-marinos.com/matches/schedule,https://www.f-marinos.com/ticket/schedule
清水エスパルス,https://www.s-pulse.co.jp/games,https://www.s-pulse.co.jp/tickets/schedule
名古屋グランパス,https://nagoya-grampus.jp/game/fixtures-results/,https://nagoya-grampus.jp/ticket/schedule/
京都サンガF.C.,https://www.sanga-fc.jp/game,https://www.sanga-fc.jp/ticket/schedule
ガンバ大阪,https://www.gamba-osaka.net/game/,https://www.gamba-osaka.net/ticket/schedule/
セレッソ大阪,https://www.cerezo.jp/matches/,https://www.cerezo.jp/ticket/
ヴィッセル神戸,https://www.vissel-kobe.co.jp/match/,https://www.vissel-kobe.co.jp/ticket/schedule/
ファジアーノ岡山,https://www.fagiano-okayama.com/game/schedule-game/2026/,https://www.fagiano-okayama.com/ticket/ticket_schedule/
サンフレッチェ広島,https://www.sanfrecce.co.jp/matches/results,https://www.sanfrecce.co.jp/tickets/schedule
アビスパ福岡,https://www.avispa.co.jp/game_practice,https://www.avispa.co.jp/news/post-87276
V・ファーレン長崎,https://www.v-varen.com/match,https://www.v-varen.com/tickets_new
